Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price,Adjusted Stock Price
8-Oct-2013,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,21-Dec-13,320,Call, $10.65, , $303.23, $15.16
8-Oct-2013,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,21-Dec-13,330,Call, $7.62, , $303.23, $15.16
28-Oct-2013,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,21-Dec-13,320,Call, $41.55, $3089, $358.16, $17.91
28-Oct-2013,Close 2DaysAfterEarnings:Short Calls,1,AMZN,21-Dec-13,330,Call, $33.30,-$2569, $358.16, $17.91
14-Jan-2014,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,22-Mar-14,415,Call, $12.80, , $397.54, $19.88
14-Jan-2014,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,22-Mar-14,430,Call, $8.18, , $397.54, $19.88
3-Feb-2014,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,22-Mar-14,415,Call, $1.09,-$1172, $346.15, $17.31
3-Feb-2014,Close 2DaysAfterEarnings:Short Calls,1,AMZN,22-Mar-14,430,Call, $0.63, $754, $346.15, $17.31
8-Apr-2014,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,21-Jun-14,345,Call, $12.12, , $327.07, $16.35
8-Apr-2014,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,21-Jun-14,355,Call, $8.98, , $327.07, $16.35
28-Apr-2014,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,21-Jun-14,345,Call, $1.98,-$1015, $296.58, $14.83
28-Apr-2014,Close 2DaysAfterEarnings:Short Calls,1,AMZN,21-Jun-14,355,Call, $1.28, $769, $296.58, $14.83
8-Jul-2014,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,20-Sep-14,340,Call, $11.05, , $323.81, $16.19
8-Jul-2014,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,20-Sep-14,350,Call, $7.98, , $323.81, $16.19
28-Jul-2014,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,20-Sep-14,340,Call, $5.35,-$571, $320.41, $16.02
28-Jul-2014,Close 2DaysAfterEarnings:Short Calls,1,AMZN,20-Sep-14,350,Call, $3.25, $472, $320.41, $16.02
7-Oct-2014,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,20-Dec-14,330,Call, $11.98, , $316.98, $15.85
7-Oct-2014,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,20-Dec-14,345,Call, $7.25, , $316.98, $15.85
27-Oct-2014,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,20-Dec-14,330,Call, $1.28,-$1071, $289.97, $14.50
27-Oct-2014,Close 2DaysAfterEarnings:Short Calls,1,AMZN,20-Dec-14,345,Call, $0.56, $668, $289.97, $14.50
13-Jan-2015,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,20-Mar-15,310,Call, $11.30, , $294.74, $14.74
13-Jan-2015,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,20-Mar-15,320,Call, $8.20, , $294.74, $14.74
2-Feb-2015,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,20-Mar-15,310,Call, $56.15, $4484, $364.47, $18.22
2-Feb-2015,Close 2DaysAfterEarnings:Short Calls,1,AMZN,20-Mar-15,320,Call, $46.95,-$3876, $364.47, $18.22
7-Apr-2015,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,19-Jun-15,390,Call, $13.92, , $374.41, $18.72
7-Apr-2015,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,19-Jun-15,405,Call, $9, , $374.41, $18.72
27-Apr-2015,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,19-Jun-15,390,Call, $50.65, $3672, $438.56, $21.93
27-Apr-2015,Close 2DaysAfterEarnings:Short Calls,1,AMZN,19-Jun-15,405,Call, $37.65,-$2866, $438.56, $21.93
7-Jul-2015,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,18-Sep-15,455,Call, $16.20, , $436.72, $21.84
7-Jul-2015,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,18-Sep-15,475,Call, $9.88, , $436.72, $21.84
27-Jul-2015,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,18-Sep-15,455,Call, $79.85, $6364, $531.41, $26.57
27-Jul-2015,Close 2DaysAfterEarnings:Short Calls,1,AMZN,18-Sep-15,475,Call, $61.85,-$5198, $531.41, $26.57
6-Oct-2015,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,18-Dec-15,570,Call, $23.05, , $537.48, $26.87
6-Oct-2015,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,18-Dec-15,595,Call, $15.22, , $537.48, $26.87
26-Oct-2015,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,18-Dec-15,570,Call, $47.58, $2452, $608.61, $30.43
26-Oct-2015,Close 2DaysAfterEarnings:Short Calls,1,AMZN,18-Dec-15,595,Call, $30.15,-$1494, $608.61, $30.43
12-Jan-2016,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,18-Mar-16,650,Call, $26.38, , $617.89, $30.89
12-Jan-2016,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,18-Mar-16,680,Call, $16.32, , $617.89, $30.89
1-Feb-2016,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,18-Mar-16,650,Call, $3.60,-$2279, $574.81, $28.74
1-Feb-2016,Close 2DaysAfterEarnings:Short Calls,1,AMZN,18-Mar-16,680,Call, $1.47, $1484, $574.81, $28.74
12-Apr-2016,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,17-Jun-16,635,Call, $23.25, , $603.17, $30.16
12-Apr-2016,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,17-Jun-16,660,Call, $15.08, , $603.17, $30.16
2-May-2016,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,17-Jun-16,635,Call, $57.40, $3414, $683.85, $34.19
2-May-2016,Close 2DaysAfterEarnings:Short Calls,1,AMZN,17-Jun-16,660,Call, $38.80,-$2373, $683.85, $34.19
12-Jul-2016,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,16-Sep-16,780,Call, $24.55, , $748.21, $37.41
12-Jul-2016,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,16-Sep-16,805,Call, $16.08, , $748.21, $37.41
1-Aug-2016,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,16-Sep-16,780,Call, $15.42,-$914, $767.74, $38.39
1-Aug-2016,Close 2DaysAfterEarnings:Short Calls,1,AMZN,16-Sep-16,805,Call, $7, $907, $767.74, $38.39
11-Oct-2016,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,16-Dec-16,865,Call, $25.58, , $831, $41.55
11-Oct-2016,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,16-Dec-16,890,Call, $17.40, , $831, $41.55
31-Oct-2016,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,16-Dec-16,865,Call, $3.08,-$2251, $789.82, $39.49
31-Oct-2016,Close 2DaysAfterEarnings:Short Calls,1,AMZN,16-Dec-16,890,Call, $1.42, $1597, $789.82, $39.49
17-Jan-2017,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,17-Mar-17,835,Call, $23.12, , $809.72, $40.49
17-Jan-2017,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,17-Mar-17,860,Call, $14.85, , $809.72, $40.49
6-Feb-2017,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,17-Mar-17,835,Call, $8.52,-$1461, $807.64, $40.38
6-Feb-2017,Close 2DaysAfterEarnings:Short Calls,1,AMZN,17-Mar-17,860,Call, $3.65, $1119, $807.64, $40.38
11-Apr-2017,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,16-Jun-17,935,Call, $24.85, , $902.36, $45.12
11-Apr-2017,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,16-Jun-17,960,Call, $16.88, , $902.36, $45.12
1-May-2017,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,16-Jun-17,935,Call, $32.72, $786, $948.23, $47.41
1-May-2017,Close 2DaysAfterEarnings:Short Calls,1,AMZN,16-Jun-17,960,Call, $19.25,-$238, $948.23, $47.41
11-Jul-2017,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,15-Sep-17,1030,Call, $27.45, , $994.13, $49.71
11-Jul-2017,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,15-Sep-17,1060,Call, $17.77, , $994.13, $49.71
31-Jul-2017,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,15-Sep-17,1030,Call, $15.78,-$1168, $987.78, $49.39
31-Jul-2017,Close 2DaysAfterEarnings:Short Calls,1,AMZN,15-Sep-17,1060,Call, $8.75, $901, $987.78, $49.39
10-Oct-2017,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,15-Dec-17,1025,Call, $27.92, , $987.20, $49.36
10-Oct-2017,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,15-Dec-17,1050,Call, $19.98, , $987.20, $49.36
30-Oct-2017,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,15-Dec-17,1025,Call, $95.57, $6764, $1110.85, $55.54
30-Oct-2017,Close 2DaysAfterEarnings:Short Calls,1,AMZN,15-Dec-17,1050,Call, $75.07,-$5510, $1110.85, $55.54
16-Jan-2018,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,16-Mar-18,1360,Call, $39.72, , $1304.86, $65.24
16-Jan-2018,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,16-Mar-18,1400,Call, $27.25, , $1304.86, $65.24
5-Feb-2018,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,16-Mar-18,1360,Call, $92.80, $5307, $1390, $69.50
5-Feb-2018,Close 2DaysAfterEarnings:Short Calls,1,AMZN,16-Mar-18,1400,Call, $71.32,-$4408, $1390, $69.50
10-Apr-2018,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,15-Jun-18,1510,Call, $58.30, , $1436.22, $71.81
10-Apr-2018,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,15-Jun-18,1580,Call, $35.20, , $1436.22, $71.81
30-Apr-2018,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,15-Jun-18,1510,Call, $96.52, $3821, $1566.13, $78.31
30-Apr-2018,Close 2DaysAfterEarnings:Short Calls,1,AMZN,15-Jun-18,1580,Call, $55.25,-$2006, $1566.13, $78.31
10-Jul-2018,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,21-Sep-18,1820,Call, $56.25, , $1743.07, $87.15
10-Jul-2018,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,21-Sep-18,1880,Call, $36.88, , $1743.07, $87.15
30-Jul-2018,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,21-Sep-18,1820,Call, $55.15,-$111, $1779.22, $88.96
30-Jul-2018,Close 2DaysAfterEarnings:Short Calls,1,AMZN,21-Sep-18,1880,Call, $33.45, $342, $1779.22, $88.96
9-Oct-2018,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,21-Dec-18,1980,Call, $75.60, , $1870.32, $93.52
9-Oct-2018,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,21-Dec-18,2060,Call, $50.45, , $1870.32, $93.52
29-Oct-2018,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,21-Dec-18,1980,Call, $4.50,-$7111, $1538.88, $76.94
29-Oct-2018,Close 2DaysAfterEarnings:Short Calls,1,AMZN,21-Dec-18,2060,Call, $2.77, $4767, $1538.88, $76.94
15-Jan-2019,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,15-Mar-19,1760,Call, $60.10, , $1674.56, $83.73
15-Jan-2019,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,15-Mar-19,1820,Call, $40.52, , $1674.56, $83.73
4-Feb-2019,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,15-Mar-19,1760,Call, $17.18,-$4293, $1633.31, $81.67
